source_file,target_import,target_module
log4j-api/src/main/java/org/apache/logging/log4j/CloseableThreadContext.java,java.util.ArrayList,external
log4j-api/src/main/java/org/apache/logging/log4j/CloseableThreadContext.java,java.util.HashMap,external
log4j-api/src/main/java/org/apache/logging/log4j/CloseableThreadContext.java,java.util.List,external
log4j-api/src/main/java/org/apache/logging/log4j/CloseableThreadContext.java,java.util.Map,external
log4j-api/src/main/java/org/apache/logging/log4j/EventLogger.java,org.apache.logging.log4j.message.StructuredDataMessage,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/EventLogger.java,org.apache.logging.log4j.spi.ExtendedLogger,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/Level.java,java.io.Serializable,external
log4j-api/src/main/java/org/apache/logging/log4j/Level.java,java.util.Objects,external
log4j-api/src/main/java/org/apache/logging/log4j/Level.java,java.util.concurrent.ConcurrentHashMap,external
log4j-api/src/main/java/org/apache/logging/log4j/Level.java,java.util.concurrent.ConcurrentMap,external
log4j-api/src/main/java/org/apache/logging/log4j/Level.java,org.apache.logging.log4j.spi.StandardLevel,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/Level.java,org.apache.logging.log4j.util.Strings,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/Level.java,org.apache.logging.log4j.util.Strings.toRootUpperCase,external
log4j-api/src/main/java/org/apache/logging/log4j/LogBuilder.java,org.apache.logging.log4j.message.Message,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogBuilder.java,org.apache.logging.log4j.util.Supplier,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,java.net.URI,external
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.internal.LogManagerStatus,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.message.MessageFactory,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.message.StringFormatterMessageFactory,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.simple.SimpleLoggerContextFactory,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.spi.LoggerContext,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.spi.LoggerContextFactory,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.spi.Terminable,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.status.StatusLogger,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.util.ProviderUtil,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.util.StackLocatorUtil,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,org.apache.logging.log4j.util.Strings,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/Logger.java,org.apache.logging.log4j.message.EntryMessage,log4j-api
log4j-api/src/main/java/org/apache/logging/log4j/Logger.java,org.apache.logging.log4j.message.FlowMessageFactory,log4j-api
