file,outgoing_imports,incoming_refs,total
log4j-api/src/main/java/org/apache/logging/log4j/BridgeAware.java,0,2,2
log4j-api/src/main/java/org/apache/logging/log4j/CloseableThreadContext.java,4,1,5
log4j-api/src/main/java/org/apache/logging/log4j/EventLogger.java,2,0,2
log4j-api/src/main/java/org/apache/logging/log4j/Level.java,7,97,104
log4j-api/src/main/java/org/apache/logging/log4j/LogBuilder.java,2,4,6
log4j-api/src/main/java/org/apache/logging/log4j/LogManager.java,12,12,24
log4j-api/src/main/java/org/apache/logging/log4j/Logger.java,7,110,117
log4j-api/src/main/java/org/apache/logging/log4j/LoggingException.java,0,8,8
log4j-api/src/main/java/org/apache/logging/log4j/Marker.java,1,64,65
log4j-api/src/main/java/org/apache/logging/log4j/MarkerManager.java,6,9,15
log4j-api/src/main/java/org/apache/logging/log4j/ThreadContext.java,19,20,39
log4j-api/src/main/java/org/apache/logging/log4j/internal/DefaultLogBuilder.java,13,1,14
log4j-api/src/main/java/org/apache/logging/log4j/internal/LogManagerStatus.java,0,1,1
log4j-api/src/main/java/org/apache/logging/log4j/internal/annotation/SuppressFBWarnings.java,2,7,9
log4j-api/src/main/java/org/apache/logging/log4j/internal/map/UnmodifiableArrayBackedMap.java,10,0,10
log4j-api/src/main/java/org/apache/logging/log4j/message/AbstractMessageFactory.java,1,0,1
log4j-api/src/main/java/org/apache/logging/log4j/message/AsynchronouslyFormattable.java,5,1,6
log4j-api/src/main/java/org/apache/logging/log4j/message/BasicThreadInformation.java,3,0,3
log4j-api/src/main/java/org/apache/logging/log4j/message/Clearable.java,0,0,0
log4j-api/src/main/java/org/apache/logging/log4j/message/DefaultFlowMessageFactory.java,4,2,6
log4j-api/src/main/java/org/apache/logging/log4j/message/EntryMessage.java,0,2,2
log4j-api/src/main/java/org/apache/logging/log4j/message/ExitMessage.java,0,0,0
log4j-api/src/main/java/org/apache/logging/log4j/message/FlowMessage.java,0,0,0
log4j-api/src/main/java/org/apache/logging/log4j/message/FlowMessageFactory.java,0,4,4
log4j-api/src/main/java/org/apache/logging/log4j/message/FormattedMessage.java,7,0,7
log4j-api/src/main/java/org/apache/logging/log4j/message/FormattedMessageFactory.java,0,0,0
log4j-api/src/main/java/org/apache/logging/log4j/message/LocalizedMessage.java,7,0,7
log4j-api/src/main/java/org/apache/logging/log4j/message/LocalizedMessageFactory.java,3,0,3
log4j-api/src/main/java/org/apache/logging/log4j/message/LoggerNameAwareMessage.java,0,1,1
log4j-api/src/main/java/org/apache/logging/log4j/message/MapMessage.java,16,9,25
log4j-api/src/main/java/org/apache/logging/log4j/message/MapMessageJsonFormatter.java,9,0,9
log4j-api/src/main/java/org/apache/logging/log4j/message/Message.java,2,71,73
log4j-api/src/main/java/org/apache/logging/log4j/message/MessageCollectionMessage.java,0,1,1
log4j-api/src/main/java/org/apache/logging/log4j/message/MessageFactory.java,0,17,17
log4j-api/src/main/java/org/apache/logging/log4j/message/MessageFactory2.java,0,4,4
log4j-api/src/main/java/org/apache/logging/log4j/message/MessageFormatMessage.java,9,1,10
log4j-api/src/main/java/org/apache/logging/log4j/message/MessageFormatMessageFactory.java,0,0,0
log4j-api/src/main/java/org/apache/logging/log4j/message/MultiformatMessage.java,0,3,3
log4j-api/src/main/java/org/apache/logging/log4j/message/ObjectArrayMessage.java,5,0,5
log4j-api/src/main/java/org/apache/logging/log4j/message/ObjectMessage.java,7,5,12
log4j-api/src/main/java/org/apache/logging/log4j/message/ParameterConsumer.java,0,3,3
log4j-api/src/main/java/org/apache/logging/log4j/message/ParameterFormatter.java,13,0,13
log4j-api/src/main/java/org/apache/logging/log4j/message/ParameterVisitable.java,1,3,4
log4j-api/src/main/java/org/apache/logging/log4j/message/ParameterizedMessage.java,13,4,17
log4j-api/src/main/java/org/apache/logging/log4j/message/ParameterizedMessageFactory.java,0,4,4
log4j-api/src/main/java/org/apache/logging/log4j/message/ParameterizedNoReferenceMessageFactory.java,1,1,2
log4j-api/src/main/java/org/apache/logging/log4j/message/ReusableMessage.java,2,5,7
log4j-api/src/main/java/org/apache/logging/log4j/message/ReusableMessageFactory.java,2,2,4
log4j-api/src/main/java/org/apache/logging/log4j/message/ReusableObjectMessage.java,2,0,2
log4j-api/src/main/java/org/apache/logging/log4j/message/ReusableParameterizedMessage.java,5,0,5
log4j-api/src/main/java/org/apache/logging/log4j/message/ReusableSimpleMessage.java,2,0,2
log4j-api/src/main/java/org/apache/logging/log4j/message/SimpleMessage.java,5,11,16
log4j-api/src/main/java/org/apache/logging/log4j/message/SimpleMessageFactory.java,0,0,0
log4j-api/src/main/java/org/apache/logging/log4j/message/StringFormattedMessage.java,8,2,10
log4j-api/src/main/java/org/apache/logging/log4j/message/StringFormatterMessageFactory.java,0,1,1
log4j-api/src/main/java/org/apache/logging/log4j/message/StringMapMessage.java,2,0,2
log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataCollectionMessage.java,4,1,5
log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataId.java,4,2,6
log4j-api/src/main/java/org/apache/logging/log4j/message/StructuredDataMessage.java,3,5,8
log4j-api/src/main/java/org/apache/logging/log4j/message/ThreadDumpMessage.java,16,0,16
log4j-api/src/main/java/org/apache/logging/log4j/message/ThreadInformation.java,0,2,2
log4j-api/src/main/java/org/apache/logging/log4j/message/TimestampMessage.java,0,3,3
log4j-api/src/main/java/org/apache/logging/log4j/simple/SimpleLogger.java,14,0,14
log4j-api/src/main/java/org/apache/logging/log4j/simple/SimpleLoggerContext.java,11,1,12
log4j-api/src/main/java/org/apache/logging/log4j/simple/SimpleLoggerContextFactory.java,3,3,6
log4j-api/src/main/java/org/apache/logging/log4j/simple/internal/SimpleProvider.java,13,2,15
log4j-api/src/main/java/org/apache/logging/log4j/spi/AbstractLogger.java,23,7,30
log4j-api/src/main/java/org/apache/logging/log4j/spi/AbstractLoggerAdapter.java,9,1,10
log4j-api/src/main/java/org/apache/logging/log4j/spi/CleanableThreadContextMap.java,0,1,1
log4j-api/src/main/java/org/apache/logging/log4j/spi/CopyOnWrite.java,0,1,1
log4j-api/src/main/java/org/apache/logging/log4j/spi/DefaultThreadContextMap.java,8,3,11
log4j-api/src/main/java/org/apache/logging/log4j/spi/DefaultThreadContextStack.java,8,1,9
log4j-api/src/main/java/org/apache/logging/log4j/spi/ExtendedLogger.java,6,4,10
log4j-api/src/main/java/org/apache/logging/log4j/spi/ExtendedLoggerWrapper.java,5,0,5
log4j-api/src/main/java/org/apache/logging/log4j/spi/LocationAwareLogger.java,3,0,3
log4j-api/src/main/java/org/apache/logging/log4j/spi/LoggerAdapter.java,1,0,1
log4j-api/src/main/java/org/apache/logging/log4j/spi/LoggerContext.java,3,4,7
log4j-api/src/main/java/org/apache/logging/log4j/spi/LoggerContextFactory.java,1,10,11
log4j-api/src/main/java/org/apache/logging/log4j/spi/LoggerContextKey.java,1,0,1
log4j-api/src/main/java/org/apache/logging/log4j/spi/LoggerContextShutdownAware.java,0,2,2
log4j-api/src/main/java/org/apache/logging/log4j/spi/LoggerContextShutdownEnabled.java,1,1,2
log4j-api/src/main/java/org/apache/logging/log4j/spi/LoggerRegistry.java,16,1,17
log4j-api/src/main/java/org/apache/logging/log4j/spi/MessageFactory2Adapter.java,5,0,5
log4j-api/src/main/java/org/apache/logging/log4j/spi/MutableThreadContextStack.java,7,2,9
log4j-api/src/main/java/org/apache/logging/log4j/spi/NoOpThreadContextMap.java,4,2,6
log4j-api/src/main/java/org/apache/logging/log4j/spi/ObjectThreadContextMap.java,1,1,2
log4j-api/src/main/java/org/apache/logging/log4j/spi/Provider.java,11,6,17
log4j-api/src/main/java/org/apache/logging/log4j/spi/ReadOnlyThreadContextMap.java,3,4,7
log4j-api/src/main/java/org/apache/logging/log4j/spi/StandardLevel.java,1,1,2
log4j-api/src/main/java/org/apache/logging/log4j/spi/Terminable.java,0,2,2
log4j-api/src/main/java/org/apache/logging/log4j/spi/ThreadContextMap.java,2,6,8
log4j-api/src/main/java/org/apache/logging/log4j/spi/ThreadContextMap2.java,2,1,3
log4j-api/src/main/java/org/apache/logging/log4j/spi/ThreadContextMapFactory.java,3,2,5
log4j-api/src/main/java/org/apache/logging/log4j/spi/ThreadContextStack.java,1,3,4
log4j-api/src/main/java/org/apache/logging/log4j/status/StatusConsoleListener.java,8,1,9
log4j-api/src/main/java/org/apache/logging/log4j/status/StatusData.java,11,3,14
log4j-api/src/main/java/org/apache/logging/log4j/status/StatusListener.java,3,1,4
log4j-api/src/main/java/org/apache/logging/log4j/status/StatusLogger.java,29,156,185
log4j-api/src/main/java/org/apache/logging/log4j/util/Activator.java,21,0,21
log4j-api/src/main/java/org/apache/logging/log4j/util/Base64Util.java,2,0,2
log4j-api/src/main/java/org/apache/logging/log4j/util/BiConsumer.java,0,6,6
log4j-api/src/main/java/org/apache/logging/log4j/util/Cast.java,0,0,0
log4j-api/src/main/java/org/apache/logging/log4j/util/Chars.java,0,5,5
log4j-api/src/main/java/org/apache/logging/log4j/util/Constants.java,1,13,14
log4j-api/src/main/java/org/apache/logging/log4j/util/EnglishEnums.java,1,8,9
log4j-api/src/main/java/org/apache/logging/log4j/util/EnvironmentPropertySource.java,6,0,6
log4j-api/src/main/java/org/apache/logging/log4j/util/FilteredObjectInputStream.java,10,1,11
log4j-api/src/main/java/org/apache/logging/log4j/util/IndexedReadOnlyStringMap.java,0,6,6
log4j-api/src/main/java/org/apache/logging/log4j/util/IndexedStringMap.java,0,4,4
log4j-api/src/main/java/org/apache/logging/log4j/util/InternalApi.java,3,0,3
log4j-api/src/main/java/org/apache/logging/log4j/util/InternalException.java,0,0,0
log4j-api/src/main/java/org/apache/logging/log4j/util/LambdaUtil.java,2,2,4
log4j-api/src/main/java/org/apache/logging/log4j/util/Lazy.java,3,4,7
log4j-api/src/main/java/org/apache/logging/log4j/util/LazyBoolean.java,3,0,3
log4j-api/src/main/java/org/apache/logging/log4j/util/LazyUtil.java,4,0,4
log4j-api/src/main/java/org/apache/logging/log4j/util/LoaderUtil.java,13,24,37
log4j-api/src/main/java/org/apache/logging/log4j/util/MessageSupplier.java,1,3,4
log4j-api/src/main/java/org/apache/logging/log4j/util/MultiFormatStringBuilderFormattable.java,1,2,3
log4j-api/src/main/java/org/apache/logging/log4j/util/OsgiServiceLocator.java,9,0,9
log4j-api/src/main/java/org/apache/logging/log4j/util/PerformanceSensitive.java,2,62,64
log4j-api/src/main/java/org/apache/logging/log4j/util/PrivateSecurityManagerStackTraceUtil.java,3,0,3
log4j-api/src/main/java/org/apache/logging/log4j/util/ProcessIdUtil.java,3,2,5
log4j-api/src/main/java/org/apache/logging/log4j/util/PropertiesPropertySource.java,3,0,3
log4j-api/src/main/java/org/apache/logging/log4j/util/PropertiesUtil.java,26,43,69
log4j-api/src/main/java/org/apache/logging/log4j/util/PropertyFilePropertySource.java,7,0,7
log4j-api/src/main/java/org/apache/logging/log4j/util/PropertySource.java,12,0,12
log4j-api/src/main/java/org/apache/logging/log4j/util/ProviderActivator.java,5,1,6
log4j-api/src/main/java/org/apache/logging/log4j/util/ProviderUtil.java,22,3,25
log4j-api/src/main/java/org/apache/logging/log4j/util/ReadOnlyStringMap.java,2,26,28
log4j-api/src/main/java/org/apache/logging/log4j/util/ServiceLoaderUtil.java,11,4,15
log4j-api/src/main/java/org/apache/logging/log4j/util/SortedArrayStringMap.java,9,4,13
log4j-api/src/main/java/org/apache/logging/log4j/util/StackLocator.java,6,0,6
log4j-api/src/main/java/org/apache/logging/log4j/util/StackLocatorUtil.java,4,15,19
log4j-api/src/main/java/org/apache/logging/log4j/util/StringBuilderFormattable.java,0,19,19
log4j-api/src/main/java/org/apache/logging/log4j/util/StringBuilders.java,2,24,26
log4j-api/src/main/java/org/apache/logging/log4j/util/StringMap.java,0,22,22
log4j-api/src/main/java/org/apache/logging/log4j/util/Strings.java,4,79,83
log4j-api/src/main/java/org/apache/logging/log4j/util/Supplier.java,0,14,14
log4j-api/src/main/java/org/apache/logging/log4j/util/SystemPropertiesPropertySource.java,7,0,7
log4j-api/src/main/java/org/apache/logging/log4j/util/Timer.java,2,0,2
log4j-api/src/main/java/org/apache/logging/log4j/util/TriConsumer.java,0,8,8
log4j-api/src/main/java/org/apache/logging/log4j/util/Unbox.java,2,0,2
log4j-api/src/main/java/org/apache/logging/log4j/util/internal/SerializationUtil.java,15,4,19
log4j-core/src/main/java/org/apache/logging/log4j/core/AbstractLifeCycle.java,3,14,17
log4j-core/src/main/java/org/apache/logging/log4j/core/AbstractLogEvent.java,11,0,11
log4j-core/src/main/java/org/apache/logging/log4j/core/Appender.java,1,37,38
log4j-core/src/main/java/org/apache/logging/log4j/core/ContextDataInjector.java,6,10,16
log4j-core/src/main/java/org/apache/logging/log4j/core/Core.java,0,69,69
log4j-core/src/main/java/org/apache/logging/log4j/core/DefaultLoggerContextAccessor.java,0,0,0
log4j-core/src/main/java/org/apache/logging/log4j/core/ErrorHandler.java,0,2,2
log4j-core/src/main/java/org/apache/logging/log4j/core/Filter.java,5,56,61
log4j-core/src/main/java/org/apache/logging/log4j/core/Layout.java,4,53,57
log4j-core/src/main/java/org/apache/logging/log4j/core/LifeCycle.java,0,5,5
log4j-core/src/main/java/org/apache/logging/log4j/core/LifeCycle2.java,1,7,8
log4j-core/src/main/java/org/apache/logging/log4j/core/LogEvent.java,9,208,217
log4j-core/src/main/java/org/apache/logging/log4j/core/LogEventListener.java,2,0,2
log4j-core/src/main/java/org/apache/logging/log4j/core/Logger.java,23,22,45
log4j-core/src/main/java/org/apache/logging/log4j/core/LoggerContext.java,45,47,92
log4j-core/src/main/java/org/apache/logging/log4j/core/LoggerContextAccessor.java,0,0,0
